"Time","amf","ausf","bsf","nrf","nssf","pcf","scp","smf","udm","udr","upf"
1769526616000,0,0,0,0,0,0,0,0,0,0,0
1769526618000,0,0,0,0,0,0,0,0,0,0,0
1769526620000,0,0,0,0,0,0,0,0,0,0,0
1769526622000,0.038429232839984895,0.004194740208898187,0.00013531421813366937,0,0,0.0027062841614931823,0,0.006630396115186214,0.01745553276115894,0.0020297132015919686,0
1769526624000,0.038429232839984895,0.004194740208898187,0.00013531421813366937,0,0,0.0027062841614931823,0,0.006630396115186214,0.01745553276115894,0.0020297132015919686,0
1769526626000,0.038429232839984895,0.004194740208898187,0.00013531421813366937,0,0,0.0027062841614931823,0,0.006630396115186214,0.01745553276115894,0.0020297132015919686,0
1769526628000,0.012406992682628631,0.00059649,0.0015508740853285789,0,0,0.015866634227542878,0,0.017298209999999998,0.018133295772457123,0.0026245560568857193,0.00011929800177767873
1769526630000,0.012406992682628631,0.00059649,0.0015508740853285789,0,0,0.015866634227542878,0,0.017298209999999998,0.018133295772457123,0.0026245560568857193,0.00011929800177767873
1769526632000,0,0,0,0,0,0,0,0,0,0,0
1769526634000,0,0,0,0,0,0,0,0,0,0,0
1769526636000,0,0,0,0,0,0,0,0,0,0,0
1769526638000,0,0,0,0,0,0,0,0,0,0,0.000003981198160052299
1769526640000,0,0,0,0,0,0,0,0,0,0,0.000003981198160052299
1769526642000,0.00013895386903882027,0.0000849162441265583,0,0,0,0,0,0,0.00021615044459939001,0.000019299146183878183,0
1769526644000,0.00013895386903882027,0.0000849162441265583,0,0,0,0,0,0,0.00021615044459939001,0.000019299146183878183,0
1769526646000,0.00013895386903882027,0.0000849162441265583,0,0,0,0,0,0,0.00021615044459939001,0.000019299146183878183,0
1769526648000,0.0037026710403728486,0.0001669237000733614,0.000015174881516732276,0,0,0.0010470667489600183,0,0.0027466533884525296,0.002124483462052345,0.00030349761677742006,0
1769526650000,0.0037026710403728486,0.0001669237000733614,0.000015174881516732276,0,0,0.0010470667489600183,0,0.0027466533884525296,0.002124483462052345,0.00030349761677742006,0
1769526652000,0.006700232680821419,0,0.001402374325197935,0,0,0.014802838573169708,0,0.02243798920316696,0.00560949730079174,0.0009349161858633161,0
1769526654000,0.006700232680821419,0,0.001402374325197935,0,0,0.014802838573169708,0,0.02243798920316696,0.00560949730079174,0.0009349161858633161,0
1769526656000,0.006700232680821419,0,0.001402374325197935,0,0,0.014802838573169708,0,0.02243798920316696,0.00560949730079174,0.0009349161858633161,0
1769526658000,0,0,0,0,0,0,0,0,0,0,0
1769526660000,0,0,0,0,0,0,0,0,0,0,0
1769526662000,0,0,0,0,0,0,0,0,0,0,0
