"Time","amf","ausf","bsf","nrf","nssf","pcf","scp","smf","udm","udr","upf"
1769527118000,0,0,0,0,0,0,0,0,0,0,0.000004987217923421413
1769527120000,0,0,0,0,0,0,0,0,0,0,0.000004987217923421413
1769527122000,0.0006342071866750717,0.00007677245408892631,0,0,0,0.00001335173105970025,0,0,0.00023365529850125313,0.00001668966332897544,0
1769527124000,0.0006342071866750717,0.00007677245408892631,0,0,0,0.00001335173105970025,0,0,0.00023365529850125313,0.00001668966332897544,0
1769527126000,0.0006342071866750717,0.00007677245408892631,0,0,0,0.00001335173105970025,0,0,0.00023365529850125313,0.00001668966332897544,0
1769527128000,0.01469324001046896,0,0.0002511665037426725,0,0,0.01142807503140688,0,0.02084681758375168,0.01506999,0.00113024922005862,0
1769527130000,0.01469324001046896,0,0.0002511665037426725,0,0,0.01142807503140688,0,0.02084681758375168,0.01506999,0.00113024922005862,0
1769527132000,0,0,0,0,0,0,0,0,0,0,0
1769527134000,0,0,0,0,0,0,0,0,0,0,0
1769527136000,0,0,0,0,0,0,0,0,0,0,0
1769527138000,0,0,0,0,0,0,0,0,0,0,0
1769527140000,0,0,0,0,0,0,0,0,0,0,0
1769527142000,0.00011071851440906525,0.00004590767967939377,0,0,0,0,0,0,0.00009451580733060837,0.0000027004515807330608,0
1769527144000,0.00011071851440906525,0.00004590767967939377,0,0,0,0,0,0,0.00009451580733060837,0.0000027004515807330608,0
1769527146000,0.00011071851440906525,0.00004590767967939377,0,0,0,0,0,0,0.00009451580733060837,0.0000027004515807330608,0
1769527148000,0.013967725036840439,0.000401948932249546,0.00005024361653119325,0,0,0.0037180275036978725,0,0.007938491053097248,0.004773143630268573,0.00030146169918715955,0
1769527150000,0.013967725036840439,0.000401948932249546,0.00005024361653119325,0,0,0.0037180275036978725,0,0.007938491053097248,0.004773143630268573,0.00030146169918715955,0
1769527152000,0.008619867862730026,0,0,0,0,0.0020202816105258465,0,0.0071383276728308204,0.008081126442103386,0.0002693708707103133,0
1769527154000,0.008619867862730026,0,0,0,0,0.0020202816105258465,0,0.0071383276728308204,0.008081126442103386,0.0002693708707103133,0
1769527156000,0.008619867862730026,0,0,0,0,0.0020202816105258465,0,0.0071383276728308204,0.008081126442103386,0.0002693708707103133,0
1769527158000,0,0,0,0,0,0,0,0,0,0,0
1769527160000,0,0,0,0,0,0,0,0,0,0,0
1769527162000,0,0,0,0,0,0,0,0,0,0,0
1769527164000,0,0,0,0,0,0,0,0,0,0,0
1769527166000,0,0,0,0,0,0,0,0,0,0,0
1769527168000,0.0006199862239122391,0.00005443781636059284,0,0,0,0.000015121613858491182,0,0,0.00019658099992990495,0.000006048645812980831,0
1769527170000,0.0006199862239122391,0.00005443781636059284,0,0,0,0.000015121613858491182,0,0,0.00019658099992990495,0.000006048645812980831,0
1769527172000,0.024182860273537637,0.002553469801798165,0.00045061226789616047,0,0,0.01937632989382267,0,0.0228310236042428,0.02433306291437149,0.0013518368484863638,0.00015020409676503392
1769527174000,0.024182860273537637,0.002553469801798165,0.00045061226789616047,0,0,0.01937632989382267,0,0.0228310236042428,0.02433306291437149,0.0013518368484863638,0.00015020409676503392
1769527176000,0.024182860273537637,0.002553469801798165,0.00045061226789616047,0,0,0.01937632989382267,0,0.0228310236042428,0.02433306291437149,0.0013518368484863638,0.00015020409676503392
1769527178000,0,0,0,0,0,0,0,0,0,0,0
1769527180000,0,0,0,0,0,0,0,0,0,0,0
1769527182000,0,0,0,0,0,0,0,0,0,0,0
1769527184000,0,0,0,0,0,0,0,0,0,0,0
1769527186000,0,0,0,0,0,0,0,0,0,0,0
1769527188000,0.00013382000046730042,0.00006412209018588066,0,0,0,0,0,0,0.00012545625706672668,0.000002787916676402092,0
1769527190000,0.00013382000046730042,0.00006412209018588066,0,0,0,0,0,0,0.00012545625706672668,0.000002787916676402092,0
1769527192000,0.014468449690790176,0.000506677274016738,0,0,0,0.003490443473031521,0,0.008388323475573063,0.007712753598053456,0.00039408231678396465,0
1769527194000,0.014468449690790176,0.000506677274016738,0,0,0,0.003490443473031521,0,0.008388323475573063,0.007712753598053456,0.00039408231678396465,0
1769527196000,0.014468449690790176,0.000506677274016738,0,0,0,0.003490443473031521,0,0.008388323475573063,0.007712753598053456,0.00039408231678396465,0
1769527198000,0.010593371609773637,0,0.0001605056329858862,0,0,0.01733460697631836,0,0.022631294310758113,0.012840450065288543,0.000802528129080534,0
1769527200000,0.010593371609773637,0,0.0001605056329858862,0,0,0.01733460697631836,0,0.022631294310758113,0.012840450065288543,0.000802528129080534,0
1769527202000,0,0,0,0,0,0,0,0,0,0,0
1769527204000,0,0,0,0,0,0,0,0,0,0,0
1769527206000,0,0,0,0,0,0,0,0,0,0,0
