"Time","amf","ausf","bsf","nrf","nssf","pcf","scp","smf","udm","udr","upf"
1769526424000,0,0,0,0,0,0,0,0,0,0,0
1769526426000,0,0,0,0,0,0,0,0,0,0,0
1769526428000,0.0003223067737340927,0.00006238195800125599,0.000010396992227509618,0,0,0.00009357293391108514,0,0.00016635187564015388,0.00024952783200502394,0.00007277894791066646,0
1769526430000,0.0003223067737340927,0.00006238195800125599,0.000010396992227509618,0,0,0.00009357293391108514,0,0.00016635187564015388,0.00024952783200502394,0.00007277894791066646,0
1769526432000,0,0,0,0,0,0,0,0,0,0,0
1769526434000,0,0,0,0,0,0,0,0,0,0,0
1769526436000,0,0,0,0,0,0,0,0,0,0,0
1769526438000,0,0,0,0,0,0,0,0,0,0,0
1769526440000,0,0,0,0,0,0,0,0,0,0,0
1769526442000,0.000009560240371227264,0.000009560240371227264,0,0,0,0,0,0,0.000012746987476944923,0.0000031867468692362307,0
1769526444000,0.000009560240371227264,0.000009560240371227264,0,0,0,0,0,0,0.000012746987476944923,0.0000031867468692362307,0
1769526446000,0.000009560240371227264,0.000009560240371227264,0,0,0,0,0,0,0.000012746987476944923,0.0000031867468692362307,0
1769526448000,0.0009492730519187451,0.0001615784056439996,0.00002019730070549995,0,0,0.0002625648820915818,0,0.0005251297641831636,0.0006665108600950241,0.0001615784056439996,0
1769526450000,0.0009492730519187451,0.0001615784056439996,0.00002019730070549995,0,0,0.0002625648820915818,0,0.0005251297641831636,0.0006665108600950241,0.0001615784056439996,0
1769526452000,0,0,0,0,0,0,0,0,0,0,0
1769526454000,0,0,0,0,0,0,0,0,0,0,0
1769526456000,0,0,0,0,0,0,0,0,0,0,0
1769526458000,0,0,0,0,0,0,0,0,0,0,0
1769526460000,0,0,0,0,0,0,0,0,0,0,0
1769526462000,0.0012540247858798504,0.00017914639628961683,0.00001990515514329076,0,0,0.0002786721720060706,0,0.0005772494873028994,0.0008161113490223885,0.00015924124114632607,0
1769526464000,0.0012540247858798504,0.00017914639628961683,0.00001990515514329076,0,0,0.0002786721720060706,0,0.0005772494873028994,0.0008161113490223885,0.00015924124114632607,0
1769526466000,0.0012540247858798504,0.00017914639628961683,0.00001990515514329076,0,0,0.0002786721720060706,0,0.0005772494873028994,0.0008161113490223885,0.00015924124114632607,0
1769526468000,0,0,0,0,0,0,0,0,0,0,0
1769526470000,0,0,0,0,0,0,0,0,0,0,0
1769526472000,0,0,0,0,0,0,0,0,0,0,0
1769526474000,0,0,0,0,0,0,0,0,0,0,0
1769526476000,0,0,0,0,0,0,0,0,0,0,0
1769526478000,0.000922095798150301,0.00015368263302505017,0.00002794229804523289,0,0,0.00019559609046578406,0,0.0004191344748276472,0.0006147305321002007,0.0001257403391289711,0
1769526480000,0.000922095798150301,0.00015368263302505017,0.00002794229804523289,0,0,0.00019559609046578406,0,0.0004191344748276472,0.0006147305321002007,0.0001257403391289711,0
1769526482000,0.000039744617801904684,0,0,0,0,0,0,0,0,0.000007948923560380935,0
1769526484000,0.000039744617801904684,0,0,0,0,0,0,0,0,0.000007948923560380935,0
1769526486000,0.000039744617801904684,0,0,0,0,0,0,0,0,0.000007948923560380935,0
1769526488000,0,0,0,0,0,0,0,0,0,0,0
1769526490000,0,0,0,0,0,0,0,0,0,0,0
1769526492000,0.0000744813017487526,0.000021723713624328377,0,0,0,0,0,0,0.00005896436265587807,0.000009310162718594076,0
1769526494000,0.0000744813017487526,0.000021723713624328377,0,0,0,0,0,0,0.00005896436265587807,0.000009310162718594076,0
1769526496000,0.0000744813017487526,0.000021723713624328377,0,0,0,0,0,0,0.00005896436265587807,0.000009310162718594076,0
