"Time","amf","ausf","bsf","nrf","nssf","pcf","scp","smf","udm","udr","upf"
1769522706000,0,0,0,0,0,0,0,0,0,0,0
1769522708000,0,0,0,0,0,0,0,0,0,0,0
1769522710000,0,0,0,0,0,0,0,0,0,0,0
1769522712000,0.000260191539952755,0.00003252394249409437,0.000004646277104616165,0,0,0.0000418164967033267,0,0.00009292555313944817,0.00011615692761540413,0.000013938831313848496,0
1769522714000,0.000260191539952755,0.00003252394249409437,0.000004646277104616165,0,0,0.0000418164967033267,0,0.00009292555313944817,0.00011615692761540413,0.000013938831313848496,0
1769522716000,0.000260191539952755,0.00003252394249409437,0.000004646277104616165,0,0,0.0000418164967033267,0,0.00009292555313944817,0.00011615692761540413,0.000013938831313848496,0
1769522718000,0,0,0,0,0,0,0,0,0,0,0
1769522720000,0,0,0,0,0,0,0,0,0,0,0
1769522722000,0,0,0,0,0,0,0,0,0,0,0
1769522724000,0,0,0,0,0,0,0,0,0,0,0
1769522726000,0,0,0,0,0,0,0,0,0,0,0
1769522728000,0.00019602605338096617,0.00002017915325984359,0,0,0,0.000028827361799776553,0,0.00006918566831946373,0.00008071661303937435,0.000008648208539932966,0
1769522730000,0.00019602605338096617,0.00002017915325984359,0,0,0,0.000028827361799776553,0,0.00006918566831946373,0.00008071661303937435,0.000008648208539932966,0
1769522732000,0,0,0,0,0,0,0,0,0,0,0
1769522734000,0,0,0,0,0,0,0,0,0,0,0
1769522736000,0,0,0,0,0,0,0,0,0,0,0
1769522738000,0,0,0,0,0,0,0,0,0,0,0
1769522740000,0,0,0,0,0,0,0,0,0,0,0
1769522742000,0.00020570917063713075,0.00001940652518391609,0,0,0,0.00003105043937236071,0,0.000058219575551748276,0.00008927001031458377,0.000007762609843090177,0
1769522744000,0.00020570917063713075,0.00001940652518391609,0,0,0,0.00003105043937236071,0,0.000058219575551748276,0.00008927001031458377,0.000007762609843090177,0
1769522746000,0.00020570917063713075,0.00001940652518391609,0,0,0,0.00003105043937236071,0,0.000058219575551748276,0.00008927001031458377,0.000007762609843090177,0
1769522748000,0.0003925885802936554,0.00004061261258840561,0.000013537537529468537,0,0,0.00004061261258840561,0,0.00013537537529468538,0.00013537537529468538,0.000013537537529468537,0
1769522750000,0.0003925885802936554,0.00004061261258840561,0.000013537537529468537,0,0,0.00004061261258840561,0,0.00013537537529468538,0.00013537537529468538,0.000013537537529468537,0
1769522752000,0,0,0,0,0,0,0,0,0,0,0
1769522754000,0,0,0,0,0,0,0,0,0,0,0
1769522756000,0,0,0,0,0,0,0,0,0,0,0
1769522758000,0,0,0,0,0,0,0,0,0,0,0
1769522760000,0,0,0,0,0,0,0,0,0,0,0
1769522762000,0.00033343845294952395,0.000028682876939773562,0,0,0,0.00004302431540966034,0,0.00010397542890667915,0.0001362436654639244,0.000014341438469886781,0
1769522764000,0.00033343845294952395,0.000028682876939773562,0,0,0,0.00004302431540966034,0,0.00010397542890667915,0.0001362436654639244,0.000014341438469886781,0
1769522766000,0.00033343845294952395,0.000028682876939773562,0,0,0,0.00004302431540966034,0,0.00010397542890667915,0.0001362436654639244,0.000014341438469886781,0
1769522768000,0,0,0,0,0,0,0,0,0,0,0
1769522770000,0,0,0,0,0,0,0,0,0,0,0
1769522772000,0,0,0,0,0,0,0,0,0,0,0
1769522774000,0,0,0,0,0,0,0,0,0,0,0
1769522776000,0,0,0,0,0,0,0,0,0,0,0
1769522778000,0.0004006129130601883,0.00003369641622230411,0.000007488091999292374,0,0,0.00004867259799540043,0,0.0001123213799893856,0.0001609939868867397,0.000014976183998584749,0
1769522780000,0.0004006129130601883,0.00003369641622230411,0.000007488091999292374,0,0,0.00004867259799540043,0,0.0001123213799893856,0.0001609939868867397,0.000014976183998584749,0
1769522782000,0,0,0,0,0,0,0,0,0,0,0
1769522784000,0,0,0,0,0,0,0,0,0,0,0
1769522786000,0,0,0,0,0,0,0,0,0,0,0
1769522788000,0,0,0,0,0,0,0,0,0,0,0
1769522790000,0,0,0,0,0,0,0,0,0,0,0
1769522792000,0.00021690002027511596,0.00002205762984752655,0,0,0,0.000011028814923763275,0,0,0.00008455424993515015,0.000007352543829083443,0
1769522794000,0.00021690002027511596,0.00002205762984752655,0,0,0,0.000011028814923763275,0,0,0.00008455424993515015,0.000007352543829083443,0
1769522796000,0.00021690002027511596,0.00002205762984752655,0,0,0,0.000011028814923763275,0,0,0.00008455424993515015,0.000007352543829083443,0
1769522798000,0.00031990753340005874,0,0,0,0,0.00011290854514986276,0,0.000395179941598177,0.00016936281772479415,0.000018818092257212847,0
1769522800000,0.00031990753340005874,0,0,0,0,0.00011290854514986276,0,0.000395179941598177,0.00016936281772479415,0.000018818092257212847,0
1769522802000,0,0,0,0,0,0,0,0,0,0,0
1769522804000,0,0,0,0,0,0,0,0,0,0,0
1769522806000,0,0,0,0,0,0,0,0,0,0,0
1769522808000,0,0,0,0,0,0,0,0.0000027295738682337105,0,0,0
1769522810000,0,0,0,0,0,0,0,0.0000027295738682337105,0,0,0
1769522812000,0.0004876450072479248,0.00003809727072030306,0,0,0,0.00005333617719680071,0,0.00013334043166935444,0.00019048633095622062,0.000011429179857373237,0
1769522814000,0.0004876450072479248,0.00003809727072030306,0,0,0,0.00005333617719680071,0,0.00013334043166935444,0.00019048633095622062,0.000011429179857373237,0
1769522816000,0.0004876450072479248,0.00003809727072030306,0,0,0,0.00005333617719680071,0,0.00013334043166935444,0.00019048633095622062,0.000011429179857373237,0
1769522818000,0,0,0,0,0,0,0,0,0,0,0
1769522820000,0,0,0,0,0,0,0,0,0,0,0
1769522822000,0,0,0,0,0,0,0,0,0,0,0
1769522824000,0,0,0,0,0,0,0,0,0,0,0
1769522826000,0,0,0,0,0,0,0,0,0,0,0
1769522828000,0.00036368054688453675,0.000023978938096761702,0,0,0,0.00003996489207804203,0,0.00009591575238704681,0.0001518665984463692,0.000011989469048380851,0
1769522830000,0.00036368054688453675,0.000023978938096761702,0,0,0,0.00003996489207804203,0,0.00009591575238704681,0.0001518665984463692,0.000011989469048380851,0
1769522832000,0,0,0,0,0,0,0,0,0,0,0
1769522834000,0,0,0,0,0,0,0,0,0,0,0
1769522836000,0,0,0,0,0,0,0,0,0,0,0
1769522838000,0,0,0,0,0,0,0,0,0,0,0
1769522840000,0,0,0,0,0,0,0,0,0,0,0
1769522842000,0,0,0,0,0,0,0,0,0,0,0
1769522844000,0,0,0,0,0,0,0,0,0,0,0
1769522846000,0,0,0,0,0,0,0,0,0,0,0
1769522848000,0.0016180771770381928,0.00009708462908148766,0.000010787181009054183,0,0,0.00016180771513581277,0,0.0004314872403621674,0.0006364436410140992,0.000032361543027162554,0
1769522850000,0.0016180771770381928,0.00009708462908148766,0.000010787181009054183,0,0,0.00016180771513581277,0,0.0004314872403621674,0.0006364436410140992,0.000032361543027162554,0
1769522852000,0,0,0,0,0,0,0,0,0,0,0
1769522854000,0,0,0,0,0,0,0,0,0,0,0
1769522856000,0,0,0,0,0,0,0,0,0,0,0
1769522858000,0,0,0,0,0,0,0,0,0,0,0
1769522860000,0,0,0,0,0,0,0,0,0,0,0
1769522862000,0.0003062399258041382,0.000020223390386104583,0,0,0,0.00003177961370944977,0,0.00007800450356483459,0.00012711845483779908,0.000008667167922258377,0
1769522864000,0.0003062399258041382,0.000020223390386104583,0,0,0,0.00003177961370944977,0,0.00007800450356483459,0.00012711845483779908,0.000008667167922258377,0
1769522866000,0.0003062399258041382,0.000020223390386104583,0,0,0,0.00003177961370944977,0,0.00007800450356483459,0.00012711845483779908,0.000008667167922258377,0
1769522868000,0,0,0,0,0,0,0,0,0,0,0
1769522870000,0,0,0,0,0,0,0,0,0,0,0
